transect,row,positionX,position,Diptera (Agromyzidae: leafminer?),Braconid wasp,"Halictus sp. (""3 part"" native bee)",pencilBug,"Agapostemon sp. (""green"" native bee)",Osmia sp. (native bee),Honey Bee,Bombus californicus (bumble),Thomisidae (crab spider),spider other,ladyBug,Lygus hesperus (western tarnished plant bug),pentamonidae  (stinkBug),other,checkerspot butterfly,Pyralidae (Snout Moth),Diabrotica undecimpunctata (Cucumber Beetle),Orius (pirate bug),date,time,julian,week
oakMargin,79,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,64,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,80,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,100,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,130,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,160,9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,79,200,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,4,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,32,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,48,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,64,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,80,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,100,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,130,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,160,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,81,200,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
oakMargin,83,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6-Jun-2018,pm,156,23
